iteration,wall_time_s,n_trajectories,pareto_front_size,best_obj0,best_obj1,mean_episode_return_obj0,mean_episode_return_obj1,target_obj0,target_obj1,bc_loss_mean,bc_loss_last
20,5.904,40,3,0.9142927527427673,-1.714173674583435,-0.7249849438667297,-2.039764404296875,0.13010405004024506,-1.696401596069336,5.23588526725769,5.267024040222168
21,6.201,44,3,0.9142927527427673,-1.714173674583435,-0.7094154953956604,-2.0161092281341553,0.968315839767456,-2.9935171604156494,5.228373031616211,5.237510681152344
22,6.492,44,3,0.9142927527427673,-1.714173674583435,-0.7094154953956604,-2.0161092281341553,0.9905434250831604,-3.0271480083465576,5.248472661972046,5.071998596191406
23,6.788,48,4,0.9142927527427673,-1.7101004123687744,-0.7072235941886902,-1.9919815063476562,-0.1655346155166626,-1.5457624197006226,5.196350889205933,5.180553436279297
24,7.077,48,4,0.9142927527427673,-1.7101004123687744,-0.7072235941886902,-1.9919815063476562,0.9583443403244019,-2.8171112537384033,5.203769836425781,5.041440963745117
25,7.373,52,5,0.9142927527427673,-1.6983983516693115,-0.7178900241851807,-1.9709372520446777,-0.9359905123710632,-1.6351768970489502,5.15949704170227,5.157388687133789
26,7.661,52,5,0.9142927527427673,-1.6983983516693115,-0.7178900241851807,-1.9709372520446777,0.9534085988998413,-1.7548953294754028,5.1516000938415525,5.205772399902344
27,7.958,56,5,0.9142927527427673,-1.6983983516693115,-0.7610171437263489,-1.9558099508285522,0.9504714608192444,-2.809687852859497,5.104603691101074,5.09704065322876
28,8.248,56,5,0.9142927527427673,-1.6983983516693115,-0.7610171437263489,-1.9558099508285522,-0.8861183524131775,-1.6151968240737915,5.14156060218811,5.1861371994018555
29,8.545,60,5,0.9142927527427673,-1.6983983516693115,-0.7840619683265686,-1.9450472593307495,1.304868221282959,-2.882570743560791,5.096211929321289,5.109237194061279
30,8.836,60,5,0.9142927527427673,-1.6983983516693115,-0.7840619683265686,-1.9450472593307495,-0.7948998212814331,-1.6909494400024414,5.111841011047363,5.066605567932129
31,9.138,64,6,0.9142927527427673,-1.6983983516693115,-0.752816915512085,-1.9348715543746948,0.978843092918396,-2.664736270904541,5.113063697814941,5.182206153869629
32,9.428,64,6,0.9142927527427673,-1.6983983516693115,-0.752816915512085,-1.9348715543746948,-0.919400691986084,-1.609878420829773,5.084341344833374,5.104976654052734
33,9.726,68,6,0.9142927527427673,-1.6983983516693115,-0.7480663061141968,-1.9238344430923462,-0.2508360743522644,-1.6321344375610352,5.0671435546875,5.190394401550293
34,10.016,68,6,0.9142927527427673,-1.6983983516693115,-0.7480663061141968,-1.9238344430923462,-0.2820930778980255,-1.5047661066055298,5.086480922698975,4.866897106170654
35,10.317,72,5,0.9142927527427673,-1.6499067544937134,-0.7407795190811157,-1.9100679159164429,-0.8831234574317932,-1.646699070930481,5.064872922897339,5.097716331481934
36,10.607,72,5,0.9142927527427673,-1.6499067544937134,-0.7407795190811157,-1.9100679159164429,0.9869463443756104,-3.0195560455322266,5.059609518051148,5.143252372741699
37,10.906,76,5,0.9142927527427673,-1.6499067544937134,-0.7676128149032593,-1.9035515785217285,1.0211670398712158,-1.7238181829452515,5.053076477050781,4.903505802154541
38,11.196,76,5,0.9142927527427673,-1.6499067544937134,-0.7676128149032593,-1.9035515785217285,1.0133334398269653,-2.917869806289673,5.060531721115113,4.992335796356201
39,11.494,80,8,0.9142927527427673,-1.6334433555603027,-0.7877429723739624,-1.891242265701294,-0.9935790300369263,-1.6200324296951294,5.0347345924377445,5.06431770324707
40,11.784,80,8,0.9142927527427673,-1.6334433555603027,-0.7877429723739624,-1.891242265701294,0.9276425242424011,-2.984243154525757,5.0513051319122315,4.856759071350098
41,12.096,84,8,0.9142927527427673,-1.6334433555603027,-0.7920541167259216,-1.8846213817596436,0.9063658714294434,-1.573243260383606,5.0144815921783445,5.177993297576904
42,12.389,84,8,0.9142927527427673,-1.6334433555603027,-0.7920541167259216,-1.8846213817596436,0.2030038684606552,-1.5134464502334595,5.007737102508545,4.946991920471191
43,12.689,88,6,0.9142927527427673,-1.4861934185028076,-0.7998344898223877,-1.8679410219192505,-1.3957964181900024,-1.4447462558746338,5.007423524856567,4.9996514320373535
44,12.98,88,6,0.9142927527427673,-1.4861934185028076,-0.7998344898223877,-1.8679410219192505,1.3096678256988525,-2.982962131500244,4.9926008605957035,4.986161708831787
45,13.28,92,6,0.9142927527427673,-1.4861934185028076,-0.8154420256614685,-1.8606826066970825,-0.5185674428939819,-1.3507596254348755,4.979307804107666,5.005975723266602
46,13.571,92,6,0.9142927527427673,-1.4861934185028076,-0.8154420256614685,-1.8606826066970825,0.9174200296401978,-2.9356398582458496,4.992426900863648,5.026349067687988
47,13.912,96,6,0.9142927527427673,-1.4861934185028076,-0.824421226978302,-1.856746792793274,0.20549611747264862,-1.5416150093078613,4.975662155151367,4.975843906402588
48,14.204,96,6,0.9142927527427673,-1.4861934185028076,-0.824421226978302,-1.856746792793274,0.6644231677055359,-1.7286704778671265,4.9668079662323,4.974562644958496
49,14.503,100,6,0.9142927527427673,-1.4861934185028076,-0.8560499548912048,-1.8626708984375,0.9568693041801453,-3.0438077449798584,5.008131523132324,5.067001819610596
50,14.794,100,6,0.9142927527427673,-1.4861934185028076,-0.8560499548912048,-1.8626708984375,1.0952632427215576,-2.875201940536499,4.970690727233887,4.936640739440918
51,15.096,104,6,0.9142927527427673,-1.4861934185028076,-0.868930459022522,-1.8599677085876465,0.48869532346725464,-1.622247338294983,4.98723349571228,4.981184005737305
52,15.391,104,6,0.9142927527427673,-1.4861934185028076,-0.868930459022522,-1.8599677085876465,-0.41505545377731323,-1.3641360998153687,4.971348276138306,5.072381019592285
53,15.692,108,6,0.9142927527427673,-1.4861934185028076,-0.8532722592353821,-1.8587968349456787,0.22310782968997955,-1.6101536750793457,4.979639949798584,5.108765602111816
54,15.983,108,6,0.9142927527427673,-1.4861934185028076,-0.8532722592353821,-1.8587968349456787,1.1132781505584717,-2.813718795776367,4.980689697265625,4.922489166259766
55,16.283,112,7,0.9142927527427673,-1.4861934185028076,-0.8545724153518677,-1.8505321741104126,-0.5864676833152771,-1.333337664604187,4.957346048355102,4.880817413330078
56,16.575,112,7,0.9142927527427673,-1.4861934185028076,-0.8545724153518677,-1.8505321741104126,-0.40143921971321106,-1.5596915483474731,4.9893067264556885,4.96000862121582
57,16.874,116,7,0.9142927527427673,-1.4861934185028076,-0.8498249053955078,-1.8606688976287842,1.199821949005127,-3.0197410583496094,4.980641555786133,4.985899925231934
58,17.165,116,7,0.9142927527427673,-1.4861934185028076,-0.8498249053955078,-1.8606688976287842,0.925189197063446,-1.7323768138885498,4.967449626922607,4.875051021575928
59,17.465,120,7,0.9142927527427673,-1.4861934185028076,-0.8667315244674683,-1.855029821395874,-0.5397788286209106,-1.4424840211868286,4.971017618179321,4.981647968292236
60,17.757,120,7,0.9142927527427673,-1.4861934185028076,-0.8667315244674683,-1.855029821395874,0.7263053059577942,-1.6243621110916138,4.96473183631897,4.813348770141602
61,18.06,124,7,0.9142927527427673,-1.4861934185028076,-0.8722512125968933,-1.8492385149002075,-0.5688710808753967,-1.2759827375411987,4.948389959335327,4.951878547668457
62,18.375,124,7,0.9142927527427673,-1.4861934185028076,-0.8722512125968933,-1.8492385149002075,-0.5766944885253906,-1.3104273080825806,4.97235032081604,4.979049205780029
63,18.675,128,8,0.9142927527427673,-1.4861934185028076,-0.8521446585655212,-1.859418272972107,1.138056755065918,-3.0048904418945312,4.989789886474609,5.043160438537598
64,18.973,128,8,0.9142927527427673,-1.4861934185028076,-0.8521446585655212,-1.859418272972107,-0.48832494020462036,-1.287131428718567,4.9888356590270995,5.056427955627441
65,19.278,132,8,0.9142927527427673,-1.4861934185028076,-0.8611045479774475,-1.86836838722229,0.9677045345306396,-2.9873838424682617,4.959187412261963,5.079984664916992
66,19.573,132,8,0.9142927527427673,-1.4861934185028076,-0.8611045479774475,-1.86836838722229,1.1296157836914062,-3.0278408527374268,4.98763216972351,4.9934234619140625
67,19.879,136,8,0.9142927527427673,-1.4861934185028076,-0.8485215306282043,-1.876166582107544,0.933530330657959,-2.9152474403381348,5.010914163589478,4.85659122467041
68,20.176,136,8,0.9142927527427673,-1.4861934185028076,-0.8485215306282043,-1.876166582107544,1.0181715488433838,-2.147054433822632,5.023695440292358,4.965036392211914
69,20.481,140,8,0.9142927527427673,-1.4861934185028076,-0.8319351077079773,-1.8805592060089111,1.2666393518447876,-2.177020311355591,5.006763687133789,5.109214782714844
70,20.778,140,8,0.9142927527427673,-1.4861934185028076,-0.8319351077079773,-1.8805592060089111,0.8959578275680542,-2.081982374191284,5.008669080734253,5.089440822601318
71,21.085,144,8,0.9142927527427673,-1.4861934185028076,-0.8552180528640747,-1.8777779340744019,-0.4223591387271881,-1.3535422086715698,4.995038900375366,4.9743852615356445
72,21.385,144,8,0.9142927527427673,-1.4861934185028076,-0.8552180528640747,-1.8777779340744019,-0.5652818083763123,-1.20742928981781,4.995268602371215,5.034214973449707
73,21.69,148,8,0.9142927527427673,-1.4861934185028076,-0.8303273916244507,-1.8838587999343872,0.9223620891571045,-2.1552016735076904,5.021322965621948,4.945357322692871
74,21.986,148,8,0.9142927527427673,-1.4861934185028076,-0.8303273916244507,-1.8838587999343872,0.9478290677070618,-2.8459670543670654,5.00698935508728,4.940317630767822
75,22.292,152,8,0.9142927527427673,-1.4861934185028076,-0.8193342089653015,-1.880244255065918,-0.5482587814331055,-1.4039846658706665,5.021480989456177,5.153935432434082
76,22.591,152,8,0.9142927527427673,-1.4861934185028076,-0.8193342089653015,-1.880244255065918,-0.4621988832950592,-1.5427385568618774,5.011718769073486,5.025772571563721
77,22.897,156,8,0.9142927527427673,-1.4861934185028076,-0.8158748149871826,-1.8826874494552612,0.9328218698501587,-1.5812453031539917,5.0190346050262455,4.94072961807251
78,23.196,156,8,0.9142927527427673,-1.4861934185028076,-0.8158748149871826,-1.8826874494552612,1.0058294534683228,-3.0015318393707275,5.022535676956177,4.967804908752441
79,23.503,160,8,0.9142927527427673,-1.4861934185028076,-0.8072978854179382,-1.894750952720642,0.964605450630188,-2.9892737865448,5.058643856048584,4.990812301635742
80,23.802,160,8,0.9142927527427673,-1.4861934185028076,-0.8072978854179382,-1.894750952720642,0.9289342761039734,-2.769073486328125,5.065375518798828,4.8561835289001465
81,24.12,164,8,0.9142927527427673,-1.4861934185028076,-0.821723222732544,-1.896836757659912,1.0445455312728882,-1.527167797088623,5.033399934768677,5.07639741897583
82,24.434,164,8,0.9142927527427673,-1.4861934185028076,-0.821723222732544,-1.896836757659912,0.24799512326717377,-1.6149091720581055,5.02747766494751,5.032695770263672
83,24.749,168,8,0.9142927527427673,-1.4861934185028076,-0.8198071718215942,-1.8993995189666748,0.302171528339386,-1.6487184762954712,5.023794002532959,5.0644612312316895
84,25.049,168,8,0.9142927527427673,-1.4861934185028076,-0.8198071718215942,-1.8993995189666748,1.1014564037322998,-1.8244892358779907,5.042426042556762,4.983000755310059
85,25.356,172,8,0.9142927527427673,-1.4861934185028076,-0.8218556046485901,-1.8969769477844238,-0.5833630561828613,-1.3155218362808228,5.040106678009034,5.027875900268555
86,25.657,172,8,0.9142927527427673,-1.4861934185028076,-0.8218556046485901,-1.8969769477844238,1.3331263065338135,-3.0147485733032227,5.034531888961792,4.948455333709717
87,25.965,176,8,0.9142927527427673,-1.4861934185028076,-0.814022958278656,-1.8939343690872192,-0.5921920537948608,-1.395929217338562,5.039347257614136,5.009701728820801
88,26.264,176,8,0.9142927527427673,-1.4861934185028076,-0.814022958278656,-1.8939343690872192,0.42121005058288574,-1.5887010097503662,5.01133360862732,5.09894323348999
89,26.574,180,8,0.9142927527427673,-1.4861934185028076,-0.8281765580177307,-1.894460678100586,0.41074231266975403,-1.6290606260299683,5.0111812973022465,5.0384202003479
90,26.873,180,8,0.9142927527427673,-1.4861934185028076,-0.8281765580177307,-1.894460678100586,0.9362285733222961,-2.7903692722320557,5.028772420883179,4.977262496948242
91,27.183,184,8,0.9142927527427673,-1.4861934185028076,-0.8204154968261719,-1.893803358078003,-0.5671242475509644,-1.449340581893921,5.054713907241822,4.947320938110352
