iteration,wall_time_s,n_trajectories,pareto_front_size,best_obj0,best_obj1,mean_episode_return_obj0,mean_episode_return_obj1,target_obj0,target_obj1,bc_loss_mean,bc_loss_last
1,1.414,4,2,87.84355163574219,-304.9592590332031,-26.205055236816406,-308.1390075683594,1.257302165031433,-1.321048617362976,6.553853273391724,6.455352306365967
2,2.764,4,2,87.84355163574219,-304.9592590332031,-26.205055236816406,-308.1390075683594,-4.235022068023682,2.9540207386016846,6.520014247894287,6.431745529174805
3,3.967,8,5,87.84355163574219,-209.23712158203125,-59.3991584777832,-260.574951171875,-4.903525352478027,-10.302210807800293,5.970220155715943,6.042198657989502
4,5.084,8,5,87.84355163574219,-209.23712158203125,-59.3991584777832,-260.574951171875,-105.59310913085938,-205.16098022460938,5.972575845718384,6.09027099609375
5,6.547,12,6,87.84355163574219,-209.23712158203125,-57.955875396728516,-259.0077209472656,132.0335235595703,-296.6590270996094,5.9536758518219,5.999661922454834
6,7.74,12,6,87.84355163574219,-209.23712158203125,-57.955875396728516,-259.0077209472656,100.561279296875,-297.1771545410156,5.954058942794799,5.972728729248047
7,9.147,16,6,87.84355163574219,-209.23712158203125,-72.20245361328125,-255.11593627929688,52.85841751098633,-243.3317413330078,5.901500377655029,5.807938575744629
8,10.362,16,6,87.84355163574219,-209.23712158203125,-72.20245361328125,-255.11593627929688,-87.43386840820312,-208.608154296875,5.919406805038452,5.917359352111816
9,11.507,20,8,87.84355163574219,-209.23712158203125,-67.466796875,-252.56961059570312,-84.28298950195312,-207.4598388671875,5.887082376480103,5.841308116912842
10,13.091,20,8,87.84355163574219,-209.23712158203125,-67.466796875,-252.56961059570312,-36.42704391479492,-213.86268615722656,5.888406724929809,5.731380939483643
11,14.652,24,7,87.84355163574219,-209.23712158203125,-59.42763137817383,-249.4463348388672,-102.3695297241211,-194.600830078125,5.830278844833374,5.878162860870361
12,16.193,24,7,87.84355163574219,-209.23712158203125,-59.42763137817383,-249.4463348388672,99.1620101928711,-301.24700927734375,5.84864426612854,5.99913215637207
13,17.431,28,8,87.84355163574219,-209.23712158203125,-57.696693420410156,-250.26280212402344,119.84247589111328,-291.8285827636719,5.853531122207642,5.88890266418457
14,18.576,28,8,87.84355163574219,-209.23712158203125,-57.696693420410156,-250.26280212402344,89.66239166259766,-250.3677520751953,5.87486349105835,5.924847602844238
15,19.446,32,8,87.84355163574219,-209.23712158203125,-55.76538848876953,-247.2008514404297,-100.01693725585938,-191.3301239013672,5.836466627120972,5.927033424377441
16,20.558,32,8,87.84355163574219,-209.23712158203125,-55.76538848876953,-247.2008514404297,-73.75016021728516,-206.6400146484375,5.831443338394165,5.886186599731445
17,22.04,36,8,87.84355163574219,-209.23712158203125,-56.1368293762207,-247.58921813964844,109.55375671386719,-299.6015319824219,5.828200101852417,5.9394073486328125
18,23.204,36,8,87.84355163574219,-209.23712158203125,-56.1368293762207,-247.58921813964844,-35.330787658691406,-209.41976928710938,5.823835678100586,5.805064678192139
19,24.42,40,8,87.84355163574219,-209.23712158203125,-62.431190490722656,-247.3354034423828,84.34346771240234,-252.19808959960938,5.840955896377563,5.748463153839111
20,25.454,40,8,87.84355163574219,-209.23712158203125,-62.431190490722656,-247.3354034423828,17.87009620666504,-216.3124542236328,5.808390388488769,5.856414794921875
21,26.849,44,8,87.84355163574219,-209.23712158203125,-62.96990966796875,-247.93138122558594,94.71280670166016,-300.78033447265625,5.841734848022461,5.910714626312256
22,28.438,44,8,87.84355163574219,-209.23712158203125,-62.96990966796875,-247.93138122558594,101.55184936523438,-307.12652587890625,5.869321813583374,5.745048999786377
23,29.655,48,9,87.84355163574219,-209.23712158203125,-64.00253295898438,-247.0146942138672,59.144874572753906,-225.4364776611328,5.833200817108154,5.709875106811523
24,30.858,48,9,87.84355163574219,-209.23712158203125,-64.00253295898438,-247.0146942138672,89.1695556640625,-287.6810302734375,5.8488830471038815,5.688628673553467
25,32.022,52,9,87.84355163574219,-209.23712158203125,-64.6512680053711,-246.52072143554688,102.59547424316406,-232.9339141845703,5.8283818817138675,5.769824028015137
26,33.328,52,9,87.84355163574219,-209.23712158203125,-64.6512680053711,-246.52072143554688,-20.53022575378418,-214.7737274169922,5.812578067779541,5.8532395362854
27,34.684,56,9,87.84355163574219,-209.23712158203125,-64.11231231689453,-246.81773376464844,91.749755859375,-291.12249755859375,5.810344104766846,5.884179592132568
